Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
snd.qog,Quality of Government Institute (snd.qog),0.20,0.26,0.00,0.00,0.12
subgoe.zfl,Leibniz-Zentrum für Literatur- und Kulturforschung Berlin (subgoe.zfl),0.09,0.28,0.06,0.10,0.12
vzek.sdm,GESIS- Survey Guidelines (vzek.sdm),0.13,0.19,0.07,0.10,0.12
ardcx.uc,University of Canberra Research Portal (ardcx.uc),0.20,0.16,0.06,0.10,0.12
tib.repod,RepOD (tib.repod),0.05,0.32,0.03,0.00,0.11
zbw.ifo,LMU-ifo Economics & Business Data Center (zbw.ifo),0.04,0.32,0.03,0.08,0.11
tib.ubde,"DuEPublico, Universitätsbibliothek Duisburg-Essen (tib.ubde)",0.14,0.16,0.11,0.06,0.11
ardcx.usc,University of the Sunshine Coast (ardcx.usc),0.12,0.17,0.17,0.10,0.11
cdl.ucsd,UC San Diego (cdl.ucsd),0.20,0.16,0.17,0.09,0.11
ardcx.ga,Geoscience Australia (ardcx.ga),0.27,0.10,0.10,0.10,0.11
tib.unibi,PUB - Publications at Bielefeld University (tib.unibi),0.17,0.05,0.18,0.04,0.11
estdoi.repo,DataDOI (estdoi.repo),0.17,0.17,0.10,0.10,0.11
vzek.archive,GESIS Data Archive (vzek.archive),0.24,0.01,0.18,0.00,0.11
crui.polito,Politecnico di Torino (crui.polito),0.25,0.11,0.06,0.00,0.11
tib.mpdl,Max Planck Digital Library (tib.mpdl),0.08,0.18,0.11,0.08,0.11
ieee.dataport,IEEE DataPort (ieee.dataport),0.18,0.12,0.06,0.10,0.11
natcan.geoscan,GEOSCAN (natcan.geoscan),0.11,0.32,0.11,0.10,0.11
spbpu.ntv,St. Petersburg State Polytechnical University Journal (spbpu.ntv),0.22,0.13,0.05,0.00,0.11
umn.drum,Data Repository for the University of Minnesota (umn.drum),0.14,0.13,0.13,0.06,0.11
hlyd.drsthh,Janelia Research Repository (hlyd.drsthh),0.13,0.23,0.05,0.00,0.11
bl.nerc,NERC Environmental Data Service (bl.nerc),0.08,0.21,0.05,0.08,0.11
uutah.usu,Utah State University (uutah.usu),0.10,0.28,0.01,0.01,0.11
tib.gfz,GFZ Data Services (tib.gfz),0.19,0.19,0.06,0.12,0.11
ardcx.usq,University of Southern Queensland research data collection (ardcx.usq),0.18,0.22,0.02,0.03,0.11
tib.ulbms,Universitäts- und Landesbibliothek Münster (tib.ulbms),0.16,0.17,0.11,0.10,0.11
bl.keele,Keele University (bl.keele),0.09,0.27,0.08,0.10,0.11
bl.nhm,"Natural History Museum, London (bl.nhm)",0.11,0.14,0.11,0.03,0.11
bl.hallam,Sheffield Hallam University (bl.hallam),0.27,0.21,0.07,0.08,0.11
bl.exeter,University of Exeter (bl.exeter),0.14,0.14,0.15,0.10,0.11
tib.ubsbg,ePLUS (tib.ubsbg),0.20,0.16,0.11,0.10,0.10
zbmed.unikoeln,Universitäts- und Stadtbibliothek Köln (zbmed.unikoeln),0.16,0.14,0.17,0.10,0.10
uva.libra,Libra (uva.libra),0.10,0.26,0.03,0.01,0.10
inist.opgc,Observatoire de Physique du Globe de Clermont-Ferrand (inist.opgc),0.17,0.15,0.08,0.05,0.10
pitt.qubes,QUBES (pitt.qubes),0.16,0.06,0.11,0.10,0.10
bl.leeds,University of Leeds (bl.leeds),0.05,0.25,0.05,0.03,0.10
unibe.boris-portal,Open Access CRIS of the University of Bern (unibe.boris-portal),0.15,0.08,0.10,0.09,0.10
pdc.arcnet,ArcticNet (pdc.arcnet),0.27,0.11,0.06,0.00,0.10
bl.bathspa,Bath Spa University (bl.bathspa),0.16,0.16,0.04,0.02,0.10
zbw.rwi,RWI – Leibniz-Institut für Wirtschaftsforschung e.V. (zbw.rwi),0.05,0.14,0.05,0.28,0.10
tdl.utl,University of Texas Libraries (tdl.utl),0.17,0.10,0.12,0.01,0.10
tib.dlr-eoc,Deutsches Zentrum für Luft- und Raumfahrt (tib.dlr-eoc),0.07,0.17,0.07,0.10,0.10
bl.oxdb,Oxford University Research Archive (bl.oxdb),0.25,0.08,0.02,0.09,0.10
