Repository Name,Repository_ID
SoilData,mpbiomas.soildata
Repositório 2 da Fiocruz,fiocruz.hzbrhl
Repositório de Dados Centro de Ciência de Dados Insper,insper.mafpvc
MapBiomas Network Data Repository,mpbiomas.mapbiomas
Repositório Aleia,ibict.rep-i
DataMap,fzao.dxfmgs
Lattes Data,cnpqorg.rep1
Datapb-ufpb,ufpb.pbwdfw
Repositório de Dados de Pesquisa da UFG,ufgbr.dados
Datarepository,lbde.xzldyn
Università degli Studi di Napoli Federico II,crui.unina
Università degli Studi di Milano,crui.unimi
Istituto Nazionale di Fisica Nucleare. Centro Nazionale Analisi Fotogrammi,crui.infncnaf
Università degli Studi di Bologna,crui.unibo
Fondazione 1563,crui.fonda1563
Università del Salento,crui.unile
Istituto Nazionale di Astrofisica,crui.inaf
Università degli Studi di Torino,crui.unito
Università degli studi di Roma La Sapienza,crui.uniroma1
Università Ca’ Foscari Venezia,crui.unive
Università degli Studi di Salerno,crui.unisa
ETA Florence,crui.eta
Università degli Studi di Trento,crui.unitn
Università degli Studi di Genova,crui.unige
Università degli Studi di Roma Tre,crui.uniroma3
Università degli Studi di Cagliari,crui.unica
Università degli Studi di Urbino,crui.uniurb
Università degli Studi di Trieste,crui.units
Università degli Studi di Verona,crui.univr
AMSDottorato. Institutional Doctoral Thesis Repository,uyey.amsdottorato
Università degli Studi di Roma Tor Vergata,wapu.njjrqc
Università IUAV,crui.iuav
Edizione nazionale delle opere di Aldo Moro,uyey.aldomoro
Università degli Studi di Messina,crui.unime
Università degli Studi di Ferrara,crui.unife
Università degli Studi di Bergamo,crui.unibg
Università degli Studi di Bari,crui.uniba
Università degli Studi di Macerata,crui.unimc
Università degli Studi di Pavia,crui.unipv
Istituto Nazionale di Geofisica e Vulcanologia (INGV),crui.ingv
Università di Modena e Reggio Emilia,crui.unimore
1000 Functional Connectomes Project,crui.unipd
Università della Calabria,crui.unical
Università degli Studi di Pisa,crui.unipi
Politecnico di Torino,crui.polito
Università degli Studi di Roma “Unitelma Sapienza”,crui.unitelma
